Theta1,Theta2
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
1.40006,2.53888
1.68432,2.53317
1.39743,2.53317
1.68405,2.52733
1.39472,2.52733
1.68375,2.52137
1.39195,2.52137
1.68341,2.51529
1.3891,2.51529
1.68304,2.50909
1.38617,2.50909
1.68262,2.50277
1.38317,2.50277
1.68217,2.49634
1.38009,2.49634
1.68168,2.4898
1.37693,2.4898
1.68114,2.48316
1.3737,2.48316
1.68055,2.4764
1.37038,2.4764
1.67991,2.46955
1.36699,2.46955
1.67922,2.46259
1.36352,2.46259
1.67847,2.45554
1.35996,2.45554
1.67767,2.44838
1.35632,2.44838
1.67681,2.44114
1.3526,2.44114
1.67588,2.4338
1.34879,2.4338
1.67489,2.42637
1.3449,2.42637
1.67384,2.41886
1.34092,2.41886
1.67272,2.41126
1.33685,2.41126
1.67152,2.40357
1.33269,2.40357
1.67025,2.3958
1.32845,2.3958
1.66891,2.38795
1.32411,2.38795
1.66749,2.38002
1.31968,2.38002
1.666,2.37201
1.31516,2.37201
1.66442,2.36392
1.31054,2.36392
1.66275,2.35576
1.30583,2.35576
1.661,2.34752
1.30101,2.34752
1.65916,2.33922
1.2961,2.33922
1.65724,2.33084
1.29109,2.33084
1.65522,2.32238
1.28598,2.32238
1.6531,2.31386
1.28076,2.31386
1.65089,2.30527
1.27544,2.30527
1.64858,2.29662
1.27001,2.29662
1.64617,2.28789
1.26448,2.28789
1.64366,2.2791
1.25883,2.2791
1.64104,2.27025
1.25307,2.27025
1.63832,2.26133
1.2472,2.26133
1.63549,2.25235
1.24121,2.25235
1.63255,2.2433
1.23511,2.2433
1.62949,2.2342
1.22889,2.2342
1.62632,2.22503
1.22254,2.22503
1.62304,2.2158
1.21607,2.2158
1.61963,2.20651
1.20948,2.20651
1.61611,2.19716
1.20276,2.19716
1.61246,2.18775
1.19591,2.18775
1.60869,2.17828
1.18892,2.17828
1.60479,2.16875
1.1818,2.16875
1.60076,2.15916
1.17455,2.15916
1.59661,2.14951
1.16715,2.14951
1.59231,2.13981
1.15961,2.13981
1.58789,2.13005
1.15192,2.13005
1.58333,2.12022
1.14408,2.12022
1.57863,2.11035
1.13609,2.11035
1.57378,2.10041
1.12795,2.10041
1.5688,2.09042
1.11964,2.09042
1.56367,2.08036
1.11118,2.08036
1.55839,2.07025
1.10254,2.07025
1.55296,2.06009
1.09374,2.06009
1.54738,2.04986
1.08476,2.04986
1.54165,2.03958
1.0756,2.03958
1.53576,2.02924
1.06626,2.02924
1.52971,2.01884
1.05673,2.01884
1.5235,2.00838
1.04701,2.00838
1.51713,1.99786
1.03709,1.99786
1.5106,1.98728
1.02696,1.98728
1.50389,1.97665
1.01662,1.97665
1.49701,1.96595
1.00607,1.96595
1.48996,1.95519
0.995294,1.95519
1.48274,1.94438
0.984287,1.94438
1.47533,1.9335
0.973042,1.9335
1.46775,1.92256
0.961551,1.92256
1.45998,1.91155
0.949805,1.91155
1.45202,1.90049
0.937795,1.90049
1.44387,1.88936
0.925512,1.88936
1.43553,1.87816
0.912944,1.87816
1.42699,1.8669
0.900079,1.8669
1.41825,1.85558
0.886907,1.85558
1.40931,1.84419
0.873412,1.84419
1.40016,1.83273
0.85958,1.83273
1.3908,1.82121
0.845396,1.82121
1.38122,1.80961
0.830842,1.80961
1.37142,1.79794
0.815899,1.79794
1.3614,1.78621
0.800545,1.78621
1.35115,1.7744
0.784757,1.7744
1.34066,1.76252
0.768509,1.76252
1.32994,1.75056
0.751773,1.75056
1.31897,1.73853
0.734515,1.73853
1.30775,1.72642
0.716698,1.72642
1.29628,1.71424
0.698282,1.71424
1.28454,1.70197
0.679218,1.70197
1.27254,1.68963
0.659451,1.68963
1.26026,1.6772
0.638917,1.6772
1.2477,1.66468
0.61754,1.66468
1.23484,1.65209
0.595232,1.65209
1.22169,1.6394
0.571884,1.6394
1.20823,1.62663
0.547366,1.62663
1.19445,1.61376
0.521513,1.61376
1.18034,1.6008
0.494118,1.6008
1.16589,1.58775
0.46491,1.58775
1.15109,1.5746
0.433526,1.5746
1.13592,1.56135
0.399455,1.56135
1.12038,1.54799
0.361942,1.54799
1.10444,1.53454
0.319781,1.53454
1.08809,1.52098
0.270813,1.52098
1.07132,1.5073
0.210342,1.5073
1.0541,1.49352
0.122372,1.49352
1.0364,1.47962
nan,1.47962
1.01822,1.4656
nan,1.4656
0.999518,1.45146
nan,1.45146
0.980268,1.4372
nan,1.4372
0.96044,1.42281
nan,1.42281
0.939997,1.40828
nan,1.40828
0.9189,1.39362
nan,1.39362
0.897103,1.37882
nan,1.37882
0.874554,1.36387
nan,1.36387
0.851196,1.34878
nan,1.34878
0.826959,1.33353
nan,1.33353
0.801766,1.31812
nan,1.31812
0.775524,1.30254
nan,1.30254
0.748124,1.28679
nan,1.28679
0.719433,1.27087
nan,1.27087
0.689291,1.25476
nan,1.25476
0.657499,1.23846
nan,1.23846
0.623807,1.22196
nan,1.22196
0.587886,1.20526
nan,1.20526
0.5493,1.18834
nan,1.18834
0.507442,1.1712
nan,1.1712
0.461421,1.15382
nan,1.15382
0.409837,1.13619
nan,1.13619
0.350238,1.11831
nan,1.11831
0.277507,1.10016
nan,1.10016
0.176052,1.08173
nan,1.08173
nan,1.063
nan,1.063
nan,1.04396
nan,1.04396
nan,1.02459
nan,1.02459
nan,1.00487
nan,1.00487
nan,0.984776
nan,0.984776
nan,0.96429
nan,0.96429
nan,0.943386
nan,0.943386
nan,0.922035
nan,0.922035
nan,0.900204
nan,0.900204
nan,0.877859
nan,0.877859
nan,0.854958
nan,0.854958
nan,0.831457
nan,0.831457
nan,0.807302
nan,0.807302
nan,0.782434
nan,0.782434
nan,0.756781
nan,0.756781
nan,0.730261
nan,0.730261
nan,0.702777
nan,0.702777
nan,0.674211
nan,0.674211
nan,0.644417
nan,0.644417
nan,0.613219
nan,0.613219
nan,0.580388
nan,0.580388
nan,0.545631
nan,0.545631
nan,0.508553
nan,0.508553
nan,0.468603
nan,0.468603
nan,0.424973
nan,0.424973
nan,0.376383
nan,0.376383
nan,0.320589
nan,0.320589
nan,0.252864
nan,0.252864
nan,0.158596
nan,0.158596
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,0.187357
nan,0.187357
nan,0.271946
nan,0.271946
nan,0.335943
nan,0.335943
nan,0.389629
nan,0.389629
nan,0.436824
nan,0.436824
nan,0.479447
nan,0.479447
nan,0.518628
nan,0.518628
nan,0.555096
nan,0.555096
nan,0.589354
nan,0.589354
nan,0.621768
nan,0.621768
nan,0.652613
nan,0.652613
nan,0.682101
nan,0.682101
nan,0.710402
nan,0.710402
nan,0.737652
nan,0.737652
nan,0.763963
nan,0.763963
nan,0.78943
nan,0.78943
nan,0.814132
nan,0.814132
nan,0.838136
nan,0.838136
nan,0.8615
nan,0.8615
nan,0.884276
nan,0.884276
nan,0.906507
nan,0.906507
nan,0.928232
nan,0.928232
nan,0.949487
nan,0.949487
nan,0.970302
nan,0.970302
nan,0.990705
nan,0.990705
nan,1.01072
nan,1.01072
nan,1.03037
nan,1.03037
nan,1.04968
nan,1.04968
nan,1.06866
nan,1.06866
nan,1.08733
2.96391,1.08733
nan,1.10571
2.86339,1.10571
nan,1.12381
2.79107,1.12381
nan,1.14164
2.73173,1.14164
nan,1.15922
2.68035,1.15922
nan,1.17656
2.63449,1.17656
nan,1.19367
2.59276,1.19367
nan,1.21056
2.55429,1.21056
nan,1.22723
2.51847,1.22723
nan,1.24369
2.48487,1.24369
nan,1.25997
2.45316,1.25997
nan,1.27605
2.4231,1.27605
nan,1.29195
2.39448,1.29195
nan,1.30767
2.36715,1.30767
nan,1.32323
2.34097,1.32323
nan,1.33862
2.31583,1.33862
nan,1.35385
2.29165,1.35385
nan,1.36893
2.26835,1.36893
nan,1.38386
2.24585,1.38386
nan,1.39865
2.2241,1.39865
nan,1.4133
2.20305,1.4133
nan,1.42781
2.18265,1.42781
nan,1.44219
2.16287,1.44219
nan,1.45645
2.14366,1.45645
nan,1.47058
2.125,1.47058
3.09532,1.48459
2.10685,1.48459
2.96366,1.49848
2.0892,1.49848
2.8946,1.51226
2.07201,1.51226
2.84131,1.52593
2.05527,1.52593
2.79639,1.53949
2.03896,1.53949
2.75692,1.55295
2.02306,1.55295
2.72135,1.5663
2.00754,1.5663
2.68877,1.57955
1.99241,1.57955
2.65857,1.5927
1.97764,1.5927
2.63034,1.60575
1.96322,1.60575
2.60376,1.61871
1.94914,1.61871
2.57861,1.63158
1.93539,1.63158
2.5547,1.64436
1.92196,1.64436
2.53188,1.65705
1.90883,1.65705
2.51005,1.66966
1.89601,1.66966
2.48909,1.68218
1.88347,1.68218
2.46894,1.69461
1.87122,1.69461
2.44952,1.70697
1.85924,1.70697
2.43077,1.71924
1.84753,1.71924
2.41264,1.73144
1.83608,1.73144
2.3951,1.74355
1.82489,1.74355
2.37809,1.7556
1.81394,1.7556
2.36158,1.76756
1.80324,1.76756
2.34555,1.77946
1.79278,1.77946
2.32996,1.79128
1.78255,1.79128
