X,Y,U,V
10.4345,-1.89411,-3.8862,0.416054
10.4735,-1.89806,-3.89555,0.394602
10.5125,-1.90179,-3.90401,0.372906
10.5516,-1.9053,-3.91159,0.351053
10.5908,-1.90859,-3.9183,0.329125
10.63,-1.91166,-3.92417,0.307199
10.6693,-1.91451,-3.92921,0.285348
10.7087,-1.91715,-3.93346,0.263637
10.748,-1.91957,-3.93694,0.242129
10.7874,-1.92178,-3.93969,0.220878
10.8268,-1.92378,-3.94174,0.199935
10.8663,-1.92557,-3.94313,0.179344
10.9057,-1.92716,-3.94389,0.159145
10.9452,-1.92856,-3.94408,0.139371
10.9846,-1.92976,-3.94371,0.120053
11.024,-1.93077,-3.94284,0.101216
11.0634,-1.9316,-3.9415,0.0828792
11.1028,-1.93225,-3.93973,0.0650604
11.1422,-1.93273,-3.93756,0.047772
11.1816,-1.93304,-3.93504,0.0310234
11.2209,-1.93319,-3.93219,0.0148207
11.2602,-1.93318,-3.92904,-0.000832833
11.2994,-1.93302,-3.92564,-0.0159367
11.3386,-1.93272,-3.92166,-0.0301137
11.3778,-1.93228,-3.9171,-0.043321
11.4169,-1.93172,-3.91236,-0.0559524
11.456,-1.93104,-3.90745,-0.0680141
11.495,-1.93025,-3.9024,-0.0795139
11.534,-1.92934,-3.89724,-0.0904607
11.5729,-1.92834,-3.89198,-0.100864
11.6118,-1.92723,-3.88665,-0.110736
11.6506,-1.92603,-3.88127,-0.120087
11.6894,-1.92474,-3.87585,-0.128931
11.7281,-1.92336,-3.87041,-0.137279
11.7667,-1.92191,-3.86497,-0.145145
11.8053,-1.92039,-3.85953,-0.152542
11.8439,-1.91879,-3.85411,-0.159484
11.8823,-1.91713,-3.84872,-0.165985
11.9208,-1.91541,-3.84338,-0.172059
11.9592,-1.91364,-3.83808,-0.177718
11.9975,-1.91181,-3.83285,-0.182978
12.0358,-1.90993,-3.82768,-0.18785
12.074,-1.908,-3.82259,-0.192349
12.1122,-1.90604,-3.81758,-0.196488
12.1503,-1.90404,-3.81266,-0.200279
12.1884,-1.902,-3.80782,-0.203736
12.2264,-1.89993,-3.80309,-0.206871
12.2644,-1.89783,-3.79846,-0.209696
12.3023,-1.89571,-3.79394,-0.212223
12.3402,-1.89357,-3.78952,-0.214464
12.3781,-1.8914,-3.78522,-0.216431
12.4159,-1.88922,-3.78103,-0.218134
12.4537,-1.88702,-3.77697,-0.219586
12.4914,-1.88482,-3.77302,-0.220798
12.5291,-1.8826,-3.7692,-0.221779
12.5667,-1.88037,-3.76551,-0.222541
12.6043,-1.87814,-3.76194,-0.223094
12.6419,-1.87591,-3.75851,-0.22345
12.6795,-1.87367,-3.7552,-0.223617
12.717,-1.87144,-3.75203,-0.223606
12.7545,-1.8692,-3.749,-0.223429
12.792,-1.86697,-3.7461,-0.223094
12.8294,-1.86474,-3.74334,-0.222611
12.8668,-1.86252,-3.74072,-0.221992
12.9042,-1.86031,-3.73824,-0.221246
12.9415,-1.85811,-3.7359,-0.220382
12.9789,-1.85591,-3.7337,-0.219412
13.0162,-1.85373,-3.73164,-0.218345
13.0535,-1.85156,-3.72973,-0.217192
13.0908,-1.8494,-3.72796,-0.215962
13.128,-1.84725,-3.72633,-0.214665
13.1653,-1.84512,-3.72485,-0.213312
13.2025,-1.843,-3.7235,-0.211913
13.2397,-1.8409,-3.7223,-0.210478
13.277,-1.83881,-3.72124,-0.209017
13.3142,-1.83673,-3.72032,-0.20754
13.3513,-1.83467,-3.71954,-0.206057
13.3885,-1.83262,-3.71889,-0.204578
13.4257,-1.83059,-3.71838,-0.203112
13.4629,-1.82858,-3.718,-0.20167
13.5001,-1.82657,-3.71774,-0.200261
13.5373,-1.82458,-3.71762,-0.198894
13.5744,-1.82261,-3.71761,-0.197579
13.6116,-1.82065,-3.71815,-0.196107
13.6488,-1.8187,-3.71946,-0.194379
13.686,-1.81678,-3.72083,-0.192763
13.7232,-1.81486,-3.72227,-0.191265
13.7605,-1.81296,-3.72377,-0.189892
13.7977,-1.81108,-3.72532,-0.188648
13.835,-1.8092,-3.72692,-0.187538
13.8723,-1.80734,-3.72857,-0.186567
13.9096,-1.80548,-3.73026,-0.185739
13.9469,-1.80363,-3.73199,-0.185058
13.9842,-1.80178,-3.73375,-0.184526
14.0216,-1.79994,-3.73553,-0.184146
14.059,-1.7981,-3.73733,-0.18392
14.0963,-1.79627,-3.73424,-0.18375
14.1337,-1.79443,-3.73605,-0.18342
14.1711,-1.7926,-3.73787,-0.183246
14.2084,-1.79077,-3.73475,-0.182993
14.2458,-1.78894,-3.73659,-0.182714
14.2832,-1.78712,-3.73843,-0.182593
14.3205,-1.78529,-3.73528,-0.182255
14.3579,-1.78347,-3.73714,-0.182028
14.3954,-1.78158,-3.75241,-0.188964
14.4329,-1.7797,-3.75398,-0.188532
14.4705,-1.77782,-3.75555,-0.188256
14.508,-1.77594,-3.75199,-0.187898
14.5456,-1.77406,-3.75354,-0.187496
14.5831,-1.77219,-3.75508,-0.187251
14.6206,-1.77032,-3.75142,-0.186774
14.6581,-1.76846,-3.75292,-0.186401
14.6956,-1.7666,-3.74918,-0.186087
14.7331,-1.76474,-3.75065,-0.185581
14.7707,-1.76289,-3.7521,-0.18523
14.8081,-1.76104,-3.74825,-0.184789
14.8456,-1.7592,-3.74966,-0.184301
14.8832,-1.75736,-3.75106,-0.183969
14.9206,-1.75552,-3.74708,-0.183391
14.9581,-1.75369,-3.74843,-0.182915
14.9956,-1.75187,-3.74434,-0.182495
15.033,-1.75005,-3.74563,-0.18187
15.0705,-1.74824,-3.74691,-0.181398
15.108,-1.74643,-3.74815,-0.181081
15.1455,-1.74462,-3.74936,-0.180916
15.183,-1.74281,-3.75053,-0.180904
15.2205,-1.741,-3.75164,-0.18104
15.258,-1.73918,-3.75269,-0.181323
15.2955,-1.73737,-3.75367,-0.181749
