X,Y
0.0671751,0.0671751
0.0678823,0.0678823
0.0685894,0.0685894
0.0692965,0.0692965
0.0700036,0.0700036
0.0707107,0.0707107
0.0714178,0.0714178
0.0721249,0.0721249
0.072832,0.072832
0.0735391,0.0735391
0.0742462,0.0742462
0.0749533,0.0749533
0.0756604,0.0756604
0.0763675,0.0763675
0.0770746,0.0770746
0.0777817,0.0777817
0.0784889,0.0784889
0.079196,0.079196
0.0799031,0.0799031
0.0806102,0.0806102
0.0813173,0.0813173
0.0820244,0.0820244
0.0827315,0.0827315
0.0834386,0.0834386
0.0841457,0.0841457
0.0848528,0.0848528
0.0855599,0.0855599
0.086267,0.086267
0.0869741,0.0869741
0.0876812,0.0876812
0.0883883,0.0883883
0.0890955,0.0890955
0.0898026,0.0898026
0.0905097,0.0905097
0.0912168,0.0912168
0.0919239,0.0919239
0.092631,0.092631
0.0933381,0.0933381
0.0940452,0.0940452
0.0947523,0.0947523
0.0954594,0.0954594
0.0961665,0.0961665
0.0968736,0.0968736
0.0975807,0.0975807
0.0982878,0.0982878
0.0989949,0.0989949
0.0997021,0.0997021
0.100409,0.100409
0.101116,0.101116
0.101823,0.101823
0.10253,0.10253
0.103238,0.103238
0.103945,0.103945
0.104652,0.104652
0.105359,0.105359
0.106066,0.106066
0.106773,0.106773
0.10748,0.10748
0.108187,0.108187
0.108894,0.108894
0.109602,0.109602
0.110309,0.110309
0.111016,0.111016
0.111723,0.111723
0.11243,0.11243
0.113137,0.113137
0.113844,0.113844
0.114551,0.114551
0.115258,0.115258
0.115966,0.115966
0.116673,0.116673
0.11738,0.11738
0.118087,0.118087
0.118794,0.118794
0.119501,0.119501
0.120208,0.120208
0.120915,0.120915
0.121622,0.121622
0.122329,0.122329
0.123037,0.123037
0.123744,0.123744
0.124451,0.124451
0.125158,0.125158
0.125865,0.125865
0.126572,0.126572
0.127279,0.127279
0.127986,0.127986
0.128693,0.128693
0.129401,0.129401
0.130108,0.130108
0.130815,0.130815
0.131522,0.131522
0.132229,0.132229
0.132936,0.132936
0.133643,0.133643
0.13435,0.13435
0.135057,0.135057
0.135765,0.135765
0.136472,0.136472
0.137179,0.137179
0.137886,0.137886
0.138593,0.138593
0.1393,0.1393
0.140007,0.140007
0.140714,0.140714
0.141421,0.141421
0.142128,0.142128
0.142836,0.142836
0.143543,0.143543
0.14425,0.14425
0.144957,0.144957
0.145664,0.145664
0.146371,0.146371
0.147078,0.147078
0.147785,0.147785
0.148492,0.148492
0.1492,0.1492
0.149907,0.149907
0.150614,0.150614
0.151321,0.151321
0.152028,0.152028
0.152735,0.152735
0.153442,0.153442
0.154149,0.154149
0.154856,0.154856
0.155563,0.155563
0.156271,0.156271
0.156978,0.156978
0.157685,0.157685
0.158392,0.158392
0.159099,0.159099
0.159806,0.159806
0.160513,0.160513
0.16122,0.16122
0.161927,0.161927
0.162635,0.162635
0.163342,0.163342
0.164049,0.164049
0.164756,0.164756
0.165463,0.165463
0.16617,0.16617
0.166877,0.166877
0.167584,0.167584
0.168291,0.168291
0.168999,0.168999
0.169706,0.169706
0.170413,0.170413
0.17112,0.17112
0.171827,0.171827
0.172534,0.172534
0.173241,0.173241
0.173948,0.173948
0.174655,0.174655
0.175362,0.175362
0.17607,0.17607
0.176777,0.176777
0.177484,0.177484
0.178191,0.178191
0.178898,0.178898
0.179605,0.179605
0.180312,0.180312
0.181019,0.181019
0.181726,0.181726
0.182434,0.182434
0.183141,0.183141
0.183848,0.183848
0.184555,0.184555
0.185262,0.185262
0.185969,0.185969
0.186676,0.186676
0.187383,0.187383
0.18809,0.18809
0.188798,0.188798
0.189505,0.189505
0.190212,0.190212
0.190919,0.190919
0.191626,0.191626
0.192333,0.192333
0.19304,0.19304
0.193747,0.193747
0.194454,0.194454
0.195161,0.195161
0.195869,0.195869
0.196576,0.196576
0.197283,0.197283
0.19799,0.19799
0.198697,0.198697
0.199404,0.199404
0.200111,0.200111
0.200818,0.200818
0.201525,0.201525
0.202233,0.202233
0.20294,0.20294
0.203647,0.203647
0.204354,0.204354
0.205061,0.205061
0.205768,0.205768
0.206475,0.206475
0.207182,0.207182
0.207889,0.207889
0.208597,0.208597
0.209304,0.209304
0.210011,0.210011
0.210718,0.210718
0.211425,0.211425
0.212132,0.212132
0.212839,0.212839
0.213546,0.213546
0.214253,0.214253
0.21496,0.21496
0.215668,0.215668
0.216375,0.216375
0.217082,0.217082
0.217789,0.217789
0.218496,0.218496
0.219203,0.219203
0.21991,0.21991
0.220617,0.220617
0.221324,0.221324
0.222032,0.222032
0.222739,0.222739
0.223446,0.223446
0.224153,0.224153
0.22486,0.22486
0.225567,0.225567
0.226274,0.226274
0.226981,0.226981
0.227688,0.227688
0.228395,0.228395
0.229103,0.229103
0.22981,0.22981
0.230517,0.230517
0.231224,0.231224
0.231931,0.231931
0.232638,0.232638
0.233345,0.233345
0.234052,0.234052
0.234759,0.234759
0.235467,0.235467
0.236174,0.236174
0.236881,0.236881
0.237588,0.237588
0.238295,0.238295
0.239002,0.239002
0.239709,0.239709
0.240416,0.240416
0.241123,0.241123
0.241831,0.241831
0.242538,0.242538
0.243245,0.243245
0.243952,0.243952
0.244659,0.244659
0.245366,0.245366
0.246073,0.246073
0.24678,0.24678
0.247487,0.247487
0.248194,0.248194
0.248902,0.248902
0.249609,0.249609
0.250316,0.250316
0.251023,0.251023
0.25173,0.25173
0.252437,0.252437
0.253144,0.253144
0.253851,0.253851
0.254558,0.254558
0.255266,0.255266
0.255973,0.255973
0.25668,0.25668
